,run,orbSize,simTicks,hostSeconds,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,numHits,numMisses,numRdHits,numWrHits,numRdMisses,numWrMisses,numColdMisses,numHotMisses,numWrBacks,totNumConf,totNumConfBufFull,timeInDramRead,timeInDramWrite,timeInWaitingToIssueNvmRead,timeInNvmRead,timeInNvmWrite,drRdQingTime,drWrQingTime,nvmRdQingTime,nvmWrQingTime,drRdDevTime,drWrDevTime,nvRdDevTime,nvWrDevTime,totNumPktsDrRd,totNumPktsDrWr,totNumPktsNvmRdWait,totNumPktsNvmRd,totNumPktsNvmWr,maxNumConf,maxDrRdEvQ,maxDrRdRespEvQ,maxDrWrEvQ,maxNvRdIssEvQ,maxNvRdEvQ,maxNvRdRespEvQ,maxNvWrEvQ,dram.avgRdBW,dram.avgWrBW,dram.peakBW,dram.busUtil,dram.busUtilRead,dram.busUtilWrite,nvm.avgRdBW,nvm.avgWrBW,nvm.peakBW,nvm.busUtil,nvm.busUtilRead,nvm.busUtilWrite,dram.avgBusLat,nvm.avgBusLat,totBW,ARL,AWL,totBusUtil%,avgDramRdQingTime,avgDramWrQingTime,avgNvmRdQingTime,avgNvmWrQingTime,missRatio,HitRatio
0,ddr4 12 R RO Hit,1,1000000021334,65.55,21284400,113877.239572,nan,1362201442.938795,0,21022255,262144,21022255,0,262144,0,262144,0,0,65,0,954215615318,4686086288,39316200000,4585684992,0,581908908010,100663440,39316462144,0,372306707308,4585422848,4585422848,0,21284399,262144,262108,262108,0,1,1,1,1,1,1,1,0,1362.201571,16.777216,19207.00,7.18,7.09,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,1.3622014429387952,113.87723957200001,,7.27,27.33969176249703,0.38400054931640626,150.00100013734797,,1.2316250399353517,98.76837026178798
1,ddr4 12 R RO Hit,2,1000000004631,127.02,41055011,93036.169937,nan,2627520435.831953,0,40792865,262144,40792865,0,262144,0,262144,0,0,311,0,1952090014180,6945885004,39925898859,6474506309,0,1233955796752,2360462156,41814982320,0,718134217428,4585422848,4585422848,0,41055009,262144,262108,262108,0,1,2,2,2,1,2,2,0,2627.520692,16.777216,19207.00,13.77,13.68,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,2.627520435831953,93.036169937,,13.86,30.05615701489677,9.004448532104492,159.53340729775513,,0.6385188887173846,99.3614762397701
2,ddr4 12 R RO Hit,4,1000000002003,248.79,74768731,86750.348819,nan,4785198326.415248,0,74506583,262144,74506583,0,262144,0,262144,0,0,1116,0,3941768869551,8666476634,41075058206,8041885164,0,2633914296867,4081053786,44531520522,0,1307854572684,4585422848,4585422848,0,74768727,262144,262110,262110,0,1,4,4,4,3,4,4,0,4785.198774,16.777216,19207.00,25.00,24.91,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,4.785198326415248,86.75034881900001,,25.09,35.227486177034955,15.567984718322753,169.8963050703903,,0.35060645873473495,99.64938819143526
3,ddr4 12 R RO Hit,8,1000000019594,466.78,122794171,93127.230601,nan,7858826214.014159,0,122532019,262144,122532019,0,262144,0,262144,0,0,3720,0,7925576838242,10381730015,43093385130,10889432972,0,5777661339046,5796307167,49397395254,0,2147915499196,4585422848,4585422848,0,122794163,262144,262115,262115,0,2,8,8,8,7,8,6,0,7858.826342,16.777216,19207.00,41.00,40.92,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,7.858826214014159,93.12723060100001,,41.09,47.051595921916906,22.11115710067749,188.45695688533658,,0.21348244616595033,99.78651103886682
4,ddr4 12 R RO Hit,16,1000000004563,948.34,221957611,98512.353043,nan,14205285759.181282,0,221695451,262144,221695451,0,262144,0,262144,0,0,13544,7,15860495649541,11816358470,47021459272,15270301537,0,11978013397801,7230935622,57706337961,0,3882482251740,4585422848,4585422848,0,221957595,262144,262120,262120,0,32,16,14,14,12,16,10,0,14205.286719,16.777216,19207.00,74.05,73.96,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,14.205285759181281,98.51235304299999,,74.14,53.965323411442625,27.58383034515381,220.1523651800702,,0.11810543410471291,99.88188735731165
5,ddr4 12 R RO Hit,32,1000000003007,1282.93,269897109,142022.629104,nan,17273412492.058849,0,269634933,262144,269634933,0,262144,0,262144,0,0,32957,46,31763677330175,12099416007,53181307000,20156735177,0,27042637659291,7513993159,68752619329,0,4721039670884,4585422848,4585422848,0,269897077,262144,262124,262124,0,32,32,14,25,12,32,14,0,17273.413644,16.777216,19207.00,90.02,89.93,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,17.27341249205885,142.022629104,,90.11,100.19611164329505,28.663609157562256,262.2904401313882,,0.09712738345781985,99.90286076017213
6,ddr4 12 R RO Hit,64,1000000002255,1525.80,277766109,254063.496182,nan,17777026455.912807,0,277503901,262144,277503901,0,262144,0,262144,0,0,68206,321,63540948635065,12040529544,61788157126,20842592814,0,58682264975925,7455106696,78045327092,0,4858683659140,4585422848,4585422848,0,277766045,262144,262130,262130,0,32,64,14,41,12,51,14,0,17777.027672,16.777216,19207.00,92.64,92.55,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,17.777026455912807,254.063496182,,92.73,211.26507732766618,28.43897512817383,297.73519662762754,,0.09437580450104516,99.90560115453106
7,ddr4 12 R RO Hit,128,1000000002430,1882.06,284093266,472217.618143,nan,18181960339.817837,0,283830994,262144,283830994,0,262144,0,262144,0,0,142712,3718,127175853417174,12052885858,63244647327,22245048084,0,122206496247278,7467463010,80904272563,0,4969357169896,4585422848,4585422848,0,284093138,262144,262134,262134,0,32,128,14,76,13,58,14,0,18181.961620,16.777216,19207.00,94.75,94.66,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.181960339817838,472.217618143,,94.84,430.1634918309009,28.48611072540283,308.63708089374137,,0.09227392246601157,99.90768102190778
8,ddr4 12 R RO Hit,256,1000000001365,2633.37,285351010,918091.933948,nan,18262447783.071762,0,285088610,262144,285088610,0,262144,0,262144,0,0,314528,35616,254550907803944,12042161762,63942226682,22280668393,0,249559552414976,7456738914,81637472227,0,4991355388968,4585422848,4585422848,0,285350754,262144,262136,262136,0,32,256,14,142,13,64,14,0,18262.449063,16.777216,19207.00,95.17,95.08,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.262447783071764,918.0919339479999,,95.26,874.5712037437826,28.44520154571533,311.43174621951965,,0.09186720593699668,99.9080430799947
9,ddr4 12 R RO Hit,512,1000000001411,3827.34,285640517,1810486.077321,nan,18280959846.205566,0,285377861,262144,285377861,0,262144,0,262144,0,0,646854,89052,509457294380311,12031254444,64827171324,21965948372,0,504460879412851,7445831596,82207696848,0,4996414967460,4585422848,4585422848,0,285640005,262144,262134,262134,0,32,512,14,270,57,64,14,0,18280.961126,16.777216,19207.00,95.27,95.18,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.280959846205565,1810.486077321,,95.36,1766.0722258174271,28.40359342956543,313.60943963011283,,0.09177409519952662,99.90804665852079
10,ddr4 12 R RO Hit,1024,1000000001317,6576.51,285743044,3607472.189487,nan,18287488359.915375,0,285479869,262144,285479869,0,262144,0,262144,0,0,1435185,321324,1020946542705812,12030497903,64921249599,21735432840,0,1015948343414416,7445075055,82071259591,0,4998199291396,4585422848,4585422848,0,285742013,262144,262125,262125,0,32,1024,14,270,63,64,14,0,18287.489640,16.777216,19207.00,95.30,95.21,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.287488359915375,3607.472189487,,95.39,3555.474159182941,28.400707454681395,313.09970277920837,,0.09174116588468904,99.90789802043265
11,ddr4 12 R RO Miss,1,1000000037146,22.73,5119156,404202.517583,nan,327625843.830010,0,607751,4511404,607751,0,4511404,0,262144,4249261,0,15,0,211176425598,80683946048,676694850000,78917990172,0,121632166338,1770467280,676699361404,0,89544259260,78913478768,78913478768,0,5119155,4511404,4511299,4511299,0,1,1,1,1,1,1,1,0,327.625972,288.729845,19207.00,3.21,1.71,1.50,288.73,0.00,19207.00,1.50,1.50,0.00,3332.00,3332.00,0.32762584383001,404.20251758300003,,4.71,23.76020384965878,0.39244263648301064,150.00100002327488,,88.12788670632425,11.872093759205619
12,ddr4 12 R RO Miss,2,1000000115260,44.93,9842858,320679.596968,nan,629942647.392810,0,1198180,8644676,1198180,0,8644676,0,262144,8382534,0,64,0,442659781816,177738881468,1322529288240,194348019810,0,270488544664,26526208876,1365664635458,0,172171237152,151212672592,151212672592,0,9842856,8644676,8644471,8644471,0,1,2,2,2,1,2,2,0,629.942839,553.259200,19207.00,6.16,3.28,2.88,553.26,0.00,19207.00,2.88,2.88,0.00,3332.00,3332.00,0.62994264739281,320.679596968,,9.04,27.48069713343363,3.068502379499243,157.98128485340516,,87.82688930389934,12.173090376799097
13,ddr4 12 R RO Miss,4,1000000095525,83.05,16680427,297942.180349,nan,1067546906.022582,0,2052484,14627940,2052484,0,14627940,0,262144,14365799,0,218,0,933827726143,380546463101,2328776058179,380099766175,0,642053749535,124674536621,2453003897874,0,291773976608,255871926480,255871926480,0,16680424,14627940,14627627,14627627,0,1,4,4,4,3,4,4,0,1067.547226,936.188071,19207.00,10.43,5.56,4.87,936.19,0.00,19207.00,4.87,4.87,0.00,3332.00,3332.00,1.067546906022582,297.94218034899995,,15.3,38.491452587476196,8.523041290913143,167.6966399180127,,87.69523705837986,12.30474495646904
14,ddr4 12 R RO Miss,8,1000000128986,147.97,25720767,315666.357787,nan,1646128491.672470,0,3182005,22538755,3182005,0,22538755,0,262144,22276618,0,699,0,1983779388430,737044863936,3827472790612,806714725171,0,1533871854510,342796961476,4239939613323,0,449907533920,394247902460,394247902460,0,25720760,22538755,22538289,22538289,0,1,8,8,8,7,8,7,0,1646.128812,1442.480134,19207.00,16.08,8.57,7.51,1442.48,0.00,19207.00,7.51,7.51,0.00,3332.00,3332.00,1.64612849167247,315.66635778700004,,23.589999999999996,59.63555721176202,15.2092234675784,188.12162774747452,,87.62862709342998,12.37134569120742
15,ddr4 12 R RO Miss,16,1000000133529,257.88,37309778,387618.613472,nan,2387824641.156163,0,4631191,32678571,4631191,0,32678571,0,262144,32416443,0,2171,0,4689054687616,1312360832239,6187999670555,1855863661650,0,4036432330712,740747268307,7472249768273,0,652622356904,571613563932,571613563932,0,37309762,32678571,32678005,32678005,0,2,16,14,15,13,16,12,0,2387.825473,2091.428265,19207.00,23.32,12.43,10.89,2091.43,0.00,19207.00,10.89,10.89,0.00,3332.00,3332.00,2.387824641156163,387.618613472,,34.21,108.18702972996718,22.667676267331274,228.6629727938716,,87.58714940624948,12.412807709550028
16,ddr4 12 R RO Miss,32,1000000112423,421.39,55046159,482120.748906,nan,3522952051.939161,0,6846490,48199637,6846490,0,48199637,0,262144,47937524,0,6728,0,9753806981852,2098759019250,10649570772198,4045832405226,0,8790940128368,1255650968846,13852295127020,0,962866853484,843108050404,843108050404,0,55046127,48199637,48199064,48199064,0,2,32,14,29,13,32,14,0,3522.953332,3084.776421,19207.00,34.40,18.34,16.06,3084.78,0.00,19207.00,16.06,16.06,0.00,3332.00,3332.00,3.5229520519391606,482.120748906,,50.459999999999994,159.7013379046268,26.051046169621568,287.39759608236375,,87.5622166480317,12.437725218938528
